Practice,List,Townsend
W95633,1459,1.076640415
W95623,694,3.12438875
W97027,1845,2.481257257
W95043,902,-1.631896661
W95050,1346,2.100905775
W97009,1049,3.772377454
W93020,1590,-4.296187094
W97041,2593,0.483240183
W93004,2699,-1.839108262
W95073,1444,0.994442746
W93628,1233,0.464891898
W97069,852,2.209052858
W93015,359,1.629425545
W93044,2843,3.390851789
W92009,1801,-4.480489582
W92036,1961,-0.984549461
W92037,2378,1.258885508
W92063,1120,-4.742795917
W92064,1389,-3.022808387
W93019,709,-7.816021668
W93040,2739,3.171552274
W93048,2565,6.5616632
W93054,3474,4.169642403
W93065,1037,3.653538793
W93608,623,5.86882795
W95290,589,1.872642128
W97614,2454,0.715313394
W98024,3205,3.263953021
W98027,3256,6.459029532
